                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59892,                 0.2623,                0.72131,                 1.1881,             0.00023533,             0.00023533,             0.00023533
                      2,                0.35804,                 0.2459,                0.78689,                 1.1593,             0.00046864,             0.00046864,             0.00046864
                      3,                0.17566,                0.37705,                0.88525,                 1.1225,             0.00069724,             0.00069724,             0.00069724
                      4,                0.08202,                0.36066,                0.85246,                  1.121,             0.00069279,             0.00069279,             0.00069279
                      5,                0.04425,                0.36066,                0.83607,                 1.1152,             0.00069279,             0.00069279,             0.00069279
                      6,                0.02479,                0.39344,                0.86885,                 1.0989,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01923,                0.40984,                0.90164,                  1.105,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01103,                0.42623,                0.85246,                 1.0942,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01006,                0.47541,                0.83607,                 1.0862,             0.00066452,             0.00066452,             0.00066452
                     10,                0.01119,                0.42623,                0.81967,                 1.0899,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00725,                0.37705,                0.78689,                 1.0963,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00815,                0.39344,                0.81967,                 1.0993,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00627,                0.44262,                0.83607,                 1.0756,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00412,                0.40984,                0.81967,                 1.0868,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00322,                0.42623,                0.83607,                 1.0819,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00391,                0.42623,                0.83607,                  1.079,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00283,                0.40984,                0.85246,                 1.0905,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00374,                0.45902,                0.83607,                 1.0837,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00465,                0.42623,                0.83607,                 1.0972,             0.00059383,             0.00059383,             0.00059383
                     20,                  0.003,                0.39344,                0.81967,                 1.0967,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00283,                0.39344,                0.83607,                 1.1056,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00607,                0.37705,                0.80328,                 1.0939,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00959,                0.37705,                0.77049,                 1.1039,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00822,                0.40984,                0.85246,                 1.0863,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00828,                0.40984,                0.80328,                  1.088,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00777,                0.37705,                0.83607,                 1.0919,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00686,                0.36066,                0.77049,                 1.1119,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00697,                0.39344,                0.85246,                  1.102,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00594,                0.36066,                0.85246,                 1.1123,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00711,                0.39344,                0.81967,                 1.0986,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00865,                0.39344,                0.85246,                 1.1025,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00704,                0.29508,                0.78689,                 1.1195,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00826,                0.36066,                0.83607,                 1.1147,             0.00049487,             0.00049487,             0.00049487
                     34,                0.01133,                0.37705,                0.85246,                 1.1004,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00786,                0.40984,                0.83607,                 1.1044,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00934,                0.34426,                0.80328,                 1.1159,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00816,                0.36066,                0.83607,                  1.109,              0.0004666,              0.0004666,              0.0004666
