                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5376,                 2.6255,                 1.3934,                0.04333,                0.48598,                0.41914,                0.28186,                 1.2537,                  2.866,                 1.0757,                0.00022,                0.00022,                0.00022
                      2,                 1.5441,                 1.6314,                 1.2782,                0.82024,                0.21328,                0.48702,                0.30651,                 1.3887,                 2.5726,                  1.093,             0.00045089,             0.00045089,             0.00045089
                      3,                  1.477,                 1.6059,                 1.2694,                0.88525,                0.43262,                0.60819,                0.37974,                 1.3474,                 2.4236,                 1.0566,             0.00067228,             0.00067228,             0.00067228
                      4,                 1.5126,                 1.3683,                 1.2517,                0.86021,                0.57512,                0.66976,                0.33184,                 1.5742,                 2.1399,                 1.1516,             0.00088416,             0.00088416,             0.00088416
                      5,                 1.4516,                 1.4482,                 1.2863,                 0.7302,                0.43925,                0.50071,                0.29931,                 1.4023,                 2.2047,                 1.1216,              0.0010865,              0.0010865,              0.0010865
                      6,                  1.518,                 1.4283,                  1.298,                0.69196,                0.39252,                0.48222,                0.26297,                 1.4999,                 2.3312,                 1.1842,              0.0012794,              0.0012794,              0.0012794
                      7,                 1.4768,                 1.3419,                 1.3233,                0.67466,                0.63956,                0.66268,                0.41069,                 1.5576,                  1.554,                 1.1651,              0.0014628,              0.0014628,              0.0014628
                      8,                 1.4991,                 1.1517,                 1.3057,                0.67204,                0.70093,                0.70939,                0.45981,                 1.3752,                 1.4354,                 1.1038,              0.0016367,              0.0016367,              0.0016367
                      9,                  1.494,                 1.2345,                 1.2865,                0.87942,                0.61348,                0.75079,                0.46294,                 1.4485,                 1.4203,                 1.1236,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4513,                 1.1671,                 1.2303,                0.77394,                0.63995,                0.76928,                0.49687,                 1.3099,                 1.3537,                 1.0776,              0.0016832,              0.0016832,              0.0016832
                     11,                   1.53,                 1.1496,                 1.2858,                 0.7863,                0.61682,                0.69136,                0.40461,                 1.5372,                 1.3768,                 1.1989,              0.0016436,              0.0016436,              0.0016436
                     12,                 1.4814,                 1.1087,                 1.2425,                0.71742,                0.79439,                0.79484,                0.49652,                 1.3717,                 1.1851,                 1.1155,               0.001604,               0.001604,               0.001604
                     13,                 1.4239,                 1.2024,                 1.2775,                0.68436,                0.70922,                0.73059,                0.49559,                 1.2779,                 1.3054,                 1.0984,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.4346,                 1.1145,                  1.249,                0.78688,                0.72466,                0.77104,                0.51322,                 1.3186,                 1.2337,                 1.0988,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.4104,                 1.0227,                 1.2091,                0.80674,                0.90654,                0.87088,                0.57556,                 1.2269,                 1.0145,                 1.0471,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3934,                 1.0508,                 1.2169,                0.82748,                0.90654,                0.86826,                0.56507,                 1.2693,                 1.0148,                 1.0617,              0.0014456,              0.0014456,              0.0014456
                     17,                 1.4035,                 1.0035,                 1.2438,                0.79688,                0.84331,                0.85628,                0.54266,                 1.2671,                0.98626,                 1.0686,               0.001406,               0.001406,               0.001406
                     18,                  1.463,                  1.111,                 1.2703,                0.85946,                0.85733,                0.88586,                0.56793,                 1.2278,                0.94683,                 1.0633,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.3769,                 1.0517,                 1.2324,                0.83653,                0.90871,                 0.9077,                0.53255,                 1.3716,                0.98193,                 1.1064,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.4508,                 1.0282,                 1.2451,                0.86349,                0.94591,                0.93162,                0.59298,                 1.2567,                0.92603,                 1.0704,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.4153,                 1.0151,                 1.2286,                0.87725,                0.90654,                0.91726,                0.54219,                 1.3759,                0.91651,                 1.1102,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.3591,                 1.0118,                  1.225,                0.83337,                0.93483,                0.92205,                0.53848,                 1.4231,                0.90462,                 1.1257,               0.001208,               0.001208,               0.001208
                     23,                 1.3943,                0.98748,                 1.2431,                0.85417,                0.90654,                0.89904,                0.56731,                  1.309,                0.89543,                 1.0916,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.3669,                0.96105,                  1.213,                0.87565,                 0.8785,                0.89796,                0.57675,                 1.2586,                0.89497,                  1.069,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.2879,                0.92628,                  1.192,                 0.8611,                0.92706,                0.91319,                0.54843,                 1.3024,                0.88603,                  1.079,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.3634,                0.96391,                 1.2248,                0.86735,                0.91665,                0.92382,                0.55399,                 1.3154,                0.86933,                 1.0779,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.3357,                0.88413,                 1.1827,                0.90093,                0.93493,                0.93484,                0.59988,                 1.2339,                0.80714,                 1.0572,                0.00101,                0.00101,                0.00101
                     28,                 1.3628,                0.90333,                 1.1898,                0.90585,                0.94393,                0.93864,                0.60134,                 1.2612,                 0.8044,                 1.0668,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.3593,                0.88787,                 1.1989,                0.88629,                0.91589,                 0.9245,                0.57001,                 1.3292,                0.81582,                   1.09,              0.0009308,              0.0009308,              0.0009308
                     30,                  1.309,                0.84558,                 1.1477,                0.88668,                0.96262,                0.94522,                0.60062,                 1.2488,                0.80631,                 1.0623,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.3204,                0.89267,                 1.1904,                 0.8568,                0.95063,                0.94066,                  0.579,                 1.3023,                0.81034,                 1.0868,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.3239,                0.88872,                 1.1887,                0.87504,                0.93458,                0.94645,                0.58624,                  1.294,                0.80801,                 1.0841,               0.000812,               0.000812,               0.000812
                     33,                 1.2625,                0.87614,                 1.1757,                0.87694,                0.96262,                0.94996,                0.61538,                 1.2417,                 0.7889,                 1.0623,              0.0007724,              0.0007724,              0.0007724
                     34,                  1.223,                0.81524,                  1.146,                0.85816,                0.96125,                0.93417,                0.59794,                 1.2788,                0.79466,                 1.0725,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.3118,                0.83485,                 1.1931,                0.87107,                0.92523,                0.91031,                0.56746,                 1.3151,                0.79368,                 1.0901,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2525,                0.81947,                 1.1516,                0.85346,                0.95327,                0.92579,                0.60144,                 1.2168,                0.77829,                 1.0635,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.3006,                0.83888,                 1.1757,                0.84575,                0.94393,                0.92086,                0.60424,                 1.2484,                0.78474,                 1.0756,               0.000614,               0.000614,               0.000614
                     38,                 1.2369,                0.81138,                 1.1582,                0.83872,                 0.8972,                0.90067,                0.55552,                 1.3889,                0.82607,                 1.1255,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.2693,                0.83857,                 1.1633,                0.88217,                0.95327,                 0.9426,                0.60082,                 1.2736,                0.77401,                 1.0769,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.2758,                0.81584,                  1.174,                0.86287,                0.97196,                0.93931,                0.60316,                 1.2292,                0.75678,                 1.0655,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.2632,                 1.0105,                 1.1954,                0.86477,                0.97196,                0.92452,                0.58604,                 1.2794,                 0.7708,                 1.0803,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.2257,                0.92167,                 1.1804,                0.86544,                0.96178,                0.92224,                0.58441,                 1.2802,                 0.7777,                 1.0789,               0.000416,               0.000416,               0.000416
                     43,                 1.2017,                0.81713,                 1.1148,                 0.9074,                0.91589,                0.93472,                0.60373,                 1.2215,                0.79396,                  1.053,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.2216,                0.80999,                 1.1077,                0.88556,                0.94015,                0.92674,                 0.5959,                 1.2188,                0.78405,                 1.0476,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.1854,                 0.8903,                 1.1676,                 0.8641,                0.95078,                0.93492,                0.60409,                 1.2095,                0.76814,                 1.0399,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.1667,                0.77614,                 1.1277,                0.87965,                0.92523,                0.92632,                0.59825,                 1.2322,                0.76904,                 1.0498,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.1984,                0.83998,                 1.1477,                0.86157,                0.93069,                0.91595,                0.58139,                 1.3114,                 0.7765,                 1.0898,               0.000218,               0.000218,               0.000218
                     48,                 1.1551,                0.81443,                 1.1066,                0.87018,                 0.9397,                 0.9192,                0.58245,                 1.3093,                0.77217,                 1.0888,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.1407,                0.79975,                 1.1073,                0.85712,                0.97196,                  0.926,                0.60256,                 1.2491,                 0.7589,                 1.0642,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.1324,                0.81105,                  1.112,                0.87321,                0.97196,                0.92727,                0.60611,                 1.2242,                0.75615,                 1.0564,               9.92e-05,               9.92e-05,               9.92e-05
