                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4147,                 0.2623,                0.78689,                 2.4949,             0.00023533,             0.00023533,             0.00023533
                      2,                 1.4816,                0.22951,                0.78689,                 2.4333,             0.00046864,             0.00046864,             0.00046864
                      3,                0.75546,                0.39344,                0.85246,                 2.3561,             0.00069724,             0.00069724,             0.00069724
                      4,                  0.349,                0.36066,                0.83607,                 2.3488,             0.00069279,             0.00069279,             0.00069279
                      5,                0.21434,                0.36066,                0.86885,                 2.3546,             0.00069279,             0.00069279,             0.00069279
                      6,                0.11956,                0.40984,                0.86885,                 2.3127,             0.00068573,             0.00068573,             0.00068573
                      7,                0.09068,                0.42623,                0.81967,                  2.291,             0.00067866,             0.00067866,             0.00067866
                      8,                0.07276,                0.37705,                 0.7541,                 2.3127,             0.00067159,             0.00067159,             0.00067159
                      9,                0.08111,                0.40984,                0.83607,                 2.3153,             0.00066452,             0.00066452,             0.00066452
                     10,                0.07451,                0.40984,                0.83607,                  2.299,             0.00065745,             0.00065745,             0.00065745
                     11,                0.07368,                0.34426,                0.78689,                 2.3509,             0.00065038,             0.00065038,             0.00065038
                     12,                0.06265,                0.34426,                0.80328,                 2.3296,             0.00064331,             0.00064331,             0.00064331
                     13,                0.07813,                0.31148,                0.86885,                 2.3548,             0.00063625,             0.00063625,             0.00063625
                     14,                0.02977,                0.37705,                0.81967,                 2.3269,             0.00062918,             0.00062918,             0.00062918
                     15,                0.03798,                0.36066,                0.86885,                 2.3282,             0.00062211,             0.00062211,             0.00062211
                     16,                0.04024,                0.36066,                0.80328,                 2.3215,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.0266,                0.40984,                0.85246,                 2.2943,             0.00060797,             0.00060797,             0.00060797
                     18,                0.02602,                0.40984,                0.80328,                 2.2819,              0.0006009,              0.0006009,              0.0006009
                     19,                 0.0213,                0.42623,                0.83607,                 2.2788,             0.00059383,             0.00059383,             0.00059383
                     20,                0.01535,                0.36066,                0.88525,                 2.2893,             0.00058677,             0.00058677,             0.00058677
                     21,                0.03603,                0.42623,                0.77049,                 2.2812,              0.0005797,              0.0005797,              0.0005797
                     22,                0.02511,                0.37705,                0.77049,                 2.3074,             0.00057263,             0.00057263,             0.00057263
                     23,                0.02996,                0.39344,                0.78689,                 2.3074,             0.00056556,             0.00056556,             0.00056556
                     24,                0.01777,                0.37705,                0.80328,                 2.3053,             0.00055849,             0.00055849,             0.00055849
                     25,                0.01495,                0.40984,                0.81967,                   2.29,             0.00055142,             0.00055142,             0.00055142
                     26,                0.01236,                0.36066,                 0.7541,                 2.2893,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00847,                0.37705,                0.78689,                 2.2975,             0.00053728,             0.00053728,             0.00053728
                     28,                0.01181,                0.37705,                0.80328,                 2.3077,             0.00053022,             0.00053022,             0.00053022
                     29,                0.01026,                0.39344,                0.77049,                 2.3081,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.0154,                0.37705,                0.81967,                  2.308,             0.00051608,             0.00051608,             0.00051608
                     31,                0.01505,                0.37705,                0.83607,                 2.3007,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00739,                0.39344,                0.80328,                 2.3035,             0.00050194,             0.00050194,             0.00050194
                     33,                 0.0066,                0.42623,                0.78689,                 2.3014,             0.00049487,             0.00049487,             0.00049487
                     34,                0.00551,                0.40984,                0.78689,                 2.2881,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00378,                0.40984,                0.77049,                 2.2975,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00311,                0.42623,                0.78689,                 2.2797,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00888,                0.40984,                0.77049,                 2.2876,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00666,                0.40984,                0.68852,                 2.3163,             0.00045953,             0.00045953,             0.00045953
                     39,                0.01339,                0.42623,                0.77049,                 2.3016,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00503,                0.44262,                0.80328,                 2.2863,             0.00044539,             0.00044539,             0.00044539
                     41,                 0.0154,                0.40984,                0.77049,                 2.2963,             0.00043832,             0.00043832,             0.00043832
                     42,                0.01888,                0.36066,                0.80328,                 2.3155,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00812,                0.40984,                0.77049,                 2.3023,             0.00042419,             0.00042419,             0.00042419
                     44,                  0.011,                0.39344,                0.85246,                  2.319,             0.00041712,             0.00041712,             0.00041712
                     45,                0.01725,                0.40984,                0.80328,                 2.2974,             0.00041005,             0.00041005,             0.00041005
                     46,                0.01345,                0.42623,                0.77049,                 2.2971,             0.00040298,             0.00040298,             0.00040298
                     47,                0.01315,                0.40984,                 0.7377,                 2.3051,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00919,                0.39344,                 0.7541,                 2.2969,             0.00038884,             0.00038884,             0.00038884
                     49,                0.02028,                0.42623,                 0.7541,                 2.2703,             0.00038178,             0.00038178,             0.00038178
                     50,                0.01182,                0.40984,                0.70492,                 2.2792,             0.00037471,             0.00037471,             0.00037471
                     51,                0.01118,                0.42623,                0.72131,                 2.2798,             0.00036764,             0.00036764,             0.00036764
                     52,                0.00612,                0.40984,                 0.7541,                 2.2816,             0.00036057,             0.00036057,             0.00036057
                     53,                0.00486,                0.42623,                0.70492,                 2.2894,              0.0003535,              0.0003535,              0.0003535
                     54,                0.00728,                0.39344,                0.72131,                 2.2952,             0.00034643,             0.00034643,             0.00034643
                     55,                0.00339,                0.42623,                 0.7377,                 2.2993,             0.00033936,             0.00033936,             0.00033936
                     56,                0.00234,                0.40984,                0.70492,                 2.3022,              0.0003323,              0.0003323,              0.0003323
