                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   2.38,                0.07634,                0.33588,                 2.6481,             0.00023571,             0.00023571,             0.00023571
                      2,                 1.4806,                 0.0916,                0.31298,                 2.6674,             0.00046902,             0.00046902,             0.00046902
                      3,                 0.8072,                 0.0687,                0.33588,                  2.663,             0.00069762,             0.00069762,             0.00069762
                      4,                0.37668,                0.05344,                0.35878,                 2.6818,             0.00069279,             0.00069279,             0.00069279
                      5,                0.18766,                 0.0687,                0.31298,                 2.6774,             0.00069279,             0.00069279,             0.00069279
                      6,                0.15657,                 0.0687,                0.30534,                  2.646,             0.00068573,             0.00068573,             0.00068573
                      7,                0.14046,                0.07634,                0.33588,                 2.6822,             0.00067866,             0.00067866,             0.00067866
                      8,                0.10906,                 0.0687,                0.31298,                 2.6788,             0.00067159,             0.00067159,             0.00067159
                      9,                0.06842,                0.05344,                0.29771,                 2.6878,             0.00066452,             0.00066452,             0.00066452
                     10,                0.06208,                0.06107,                0.35115,                 2.6871,             0.00065745,             0.00065745,             0.00065745
                     11,                 0.0576,                0.05344,                0.34351,                 2.6259,             0.00065038,             0.00065038,             0.00065038
                     12,                0.04968,                 0.0458,                0.29008,                 2.6901,             0.00064331,             0.00064331,             0.00064331
                     13,                0.03109,                0.05344,                0.31298,                 2.6995,             0.00063625,             0.00063625,             0.00063625
                     14,                0.03575,                0.05344,                0.29008,                 2.6949,             0.00062918,             0.00062918,             0.00062918
                     15,                0.02845,                 0.0458,                0.28244,                 2.6754,             0.00062211,             0.00062211,             0.00062211
                     16,                0.02678,                0.07634,                0.26718,                 2.6813,             0.00061504,             0.00061504,             0.00061504
                     17,                0.02901,                0.06107,                0.33588,                 2.6792,             0.00060797,             0.00060797,             0.00060797
                     18,                0.02301,                0.06107,                0.31298,                 2.6871,              0.0006009,              0.0006009,              0.0006009
                     19,                0.04676,                0.06107,                0.28244,                 2.6904,             0.00059383,             0.00059383,             0.00059383
                     20,                0.04896,                0.05344,                0.25954,                 2.6872,             0.00058677,             0.00058677,             0.00058677
                     21,                0.03852,                 0.0458,                0.25191,                 2.7005,              0.0005797,              0.0005797,              0.0005797
                     22,                0.03126,                 0.0687,                0.31298,                 2.6807,             0.00057263,             0.00057263,             0.00057263
                     23,                0.02949,                0.06107,                0.28244,                 2.6694,             0.00056556,             0.00056556,             0.00056556
                     24,                0.03632,                0.06107,                0.27481,                 2.6909,             0.00055849,             0.00055849,             0.00055849
                     25,                0.02671,                0.06107,                0.25191,                 2.6861,             0.00055142,             0.00055142,             0.00055142
                     26,                0.03037,                0.07634,                0.30534,                 2.6317,             0.00054435,             0.00054435,             0.00054435
                     27,                0.01893,                0.06107,                0.24427,                 2.6811,             0.00053728,             0.00053728,             0.00053728
                     28,                0.02602,                 0.0687,                0.30534,                 2.6413,             0.00053022,             0.00053022,             0.00053022
                     29,                0.02431,                 0.0458,                0.28244,                 2.6977,             0.00052315,             0.00052315,             0.00052315
                     30,                 0.0177,                0.05344,                0.31298,                 2.6967,             0.00051608,             0.00051608,             0.00051608
                     31,                0.01645,                0.06107,                0.35115,                 2.6954,             0.00050901,             0.00050901,             0.00050901
                     32,                0.01042,                0.06107,                0.35115,                 2.6888,             0.00050194,             0.00050194,             0.00050194
                     33,                 0.0156,                 0.0687,                0.33588,                 2.6888,             0.00049487,             0.00049487,             0.00049487
                     34,                0.01487,                0.05344,                0.33588,                 2.6924,              0.0004878,              0.0004878,              0.0004878
                     35,                0.01155,                0.06107,                0.30534,                 2.6964,             0.00048074,             0.00048074,             0.00048074
